workload_kind,file_size_bytes,chunk_size_bytes,generation_gap_ms,rtt_ms,bandwidth_mbps,delayed_ack_ms,mss_bytes,nagle_penalty_factor,propagation_factor,message_size_mean,inter_arrival_time,queue_size,estimated_rtt,scenario_id,policy,resolved_batch_bytes,resolved_flush_interval_ms,latency_mean_ms,latency_p95_ms,throughput_mbps,goodput_bytes,flush_count,syscall_count,mean_batch_size_bytes,mean_queue_size_bytes,max_queue_size_bytes,mean_elapsed_time_since_last_flush_ms,deadline_miss_ms_sum,late_frame_ratio,keyframe_late_ratio,decodable_gop_ratio,useful_goodput_bytes,best_fixed_score_gap,batch_bytes,flush_interval_ms,trace_csv_path,playback_buffer_ms,loop_count,trace_name,mean_frame_bytes,p95_frame_bytes,frame_interval_ms,keyframe_interval_frames,i_ratio,p_ratio,b_ratio,throughput_mbps_score,goodput_bytes_score,latency_p95_ms_score,flush_count_score,objective_score,decodable_gop_ratio_score,late_frame_ratio_score,keyframe_late_ratio_score,useful_goodput_bytes_score
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,2.0,14073.44806484376,26731.28250000002,4.644927971181826,16777216.0,410,410,40920.039024390244,20980.0,40960.0,0.9744140625000228,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,2.0,,,,,,,,,,,,0.9672373895487516,0.5,0.9939094935499195,0.9904513888888888,0.8592445628628179,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,4.0,13710.276599999965,26028.2468999999,4.771898196246007,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,4.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,8.0,13710.276599999965,26028.2468999999,4.771898196246007,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,8.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,16.0,13710.276599999965,26028.2468999999,4.771898196246007,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,16.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,33.0,13710.276599999965,26028.2468999999,4.771898196246007,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,33.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,50.0,13710.276599999965,26028.2468999999,4.771898196246007,16777216.0,256,256,65536.0,33280.0,65536.0,1.575,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,50.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,0.8750000000000001,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,1.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,1.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,2.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,2.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,4.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,4.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,8.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,8.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,16.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,16.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,33.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,33.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,512.0,50.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,512,50.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,1.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,1.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,2.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,2.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,4.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,4.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,8.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,8.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,16.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,16.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,33.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,33.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,1460.0,50.0,33496.38619999876,63638.915379997394,1.9795075292437958,16777216.0,8192,8192,2048.0,1536.0,2048.0,0.025,0.0,0.0,0.0,0.0,16777216.0,0.0,1460,50.0,,,,,,,,,,,,0.2794688077110181,0.5,0.6741729451976225,0.5079365079365079,0.44781258831440796,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,1.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,1.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,2.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,2.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,4.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,4.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,8.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,8.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,16.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,16.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,33.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,33.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,2920.0,50.0,26670.58888764708,50670.3230200046,2.4783471296374247,16777216.0,5462,5462,3071.6250457707797,2047.9375,3072.0,0.049996948242187506,0.0,0.0,0.0,0.0,16777216.0,0.0,2920,50.0,,,,,,,,,,,,0.4081862884990658,0.5,0.7865218723600398,0.6772073412698413,0.5471599910621104,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,1.0,18141.601399999712,34458.80369999874,3.6192995862065014,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,1.0,,,,,,,,,,,,0.7025905935955734,0.5,0.9269647787848103,0.8888888888888888,0.7247625265285247,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,2.0,18141.601399999712,34458.80369999874,3.6192995862065014,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,2.0,,,,,,,,,,,,0.7025905935955734,0.5,0.9269647787848103,0.8888888888888888,0.7247625265285247,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,4.0,18141.601399999712,34458.80369999874,3.6192995862065014,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,4.0,,,,,,,,,,,,0.7025905935955734,0.5,0.9269647787848103,0.8888888888888888,0.7247625265285247,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,8.0,18141.601399999712,34458.80369999874,3.6192995862065014,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,8.0,,,,,,,,,,,,0.7025905935955734,0.5,0.9269647787848103,0.8888888888888888,0.7247625265285247,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,16.0,18141.601399999712,34458.80369999874,3.6192995862065014,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,16.0,,,,,,,,,,,,0.7025905935955734,0.5,0.9269647787848103,0.8888888888888888,0.7247625265285247,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,33.0,18141.601399999712,34458.80369999874,3.6192995862065014,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,33.0,,,,,,,,,,,,0.7025905935955734,0.5,0.9269647787848103,0.8888888888888888,0.7247625265285247,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,8192.0,50.0,18141.601399999712,34458.80369999874,3.6192995862065014,16777216.0,2048,2048,8192.0,4608.0,8192.0,0.17499999999999993,0.0,0.0,0.0,0.0,16777216.0,0.0,8192,50.0,,,,,,,,,,,,0.7025905935955734,0.5,0.9269647787848103,0.8888888888888888,0.7247625265285247,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,1.0,15588.55500000019,29594.603700000505,4.198989074547218,16777216.0,1024,1024,16384.0,8704.0,16384.0,0.3749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,1.0,,,,,,,,,,,,0.852170078703914,0.5,0.9691040978668958,0.9523809523809523,0.8025459939120876,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,2.0,15588.55500000019,29594.603700000505,4.198989074547218,16777216.0,1024,1024,16384.0,8704.0,16384.0,0.3749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,2.0,,,,,,,,,,,,0.852170078703914,0.5,0.9691040978668958,0.9523809523809523,0.8025459939120876,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,4.0,15588.55500000019,29594.603700000505,4.198989074547218,16777216.0,1024,1024,16384.0,8704.0,16384.0,0.3749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,4.0,,,,,,,,,,,,0.852170078703914,0.5,0.9691040978668958,0.9523809523809523,0.8025459939120876,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,8.0,15588.55500000019,29594.603700000505,4.198989074547218,16777216.0,1024,1024,16384.0,8704.0,16384.0,0.3749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,8.0,,,,,,,,,,,,0.852170078703914,0.5,0.9691040978668958,0.9523809523809523,0.8025459939120876,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,16.0,15588.55500000019,29594.603700000505,4.198989074547218,16777216.0,1024,1024,16384.0,8704.0,16384.0,0.3749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,16.0,,,,,,,,,,,,0.852170078703914,0.5,0.9691040978668958,0.9523809523809523,0.8025459939120876,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,33.0,15588.55500000019,29594.603700000505,4.198989074547218,16777216.0,1024,1024,16384.0,8704.0,16384.0,0.3749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,33.0,,,,,,,,,,,,0.852170078703914,0.5,0.9691040978668958,0.9523809523809523,0.8025459939120876,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,16384.0,50.0,15588.55500000019,29594.603700000505,4.198989074547218,16777216.0,1024,1024,16384.0,8704.0,16384.0,0.3749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,16384,50.0,,,,,,,,,,,,0.852170078703914,0.5,0.9691040978668958,0.9523809523809523,0.8025459939120876,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,1.0,15080.079088281262,28643.514500000023,4.337363027880426,16777216.0,820,820,20460.019512195122,10750.0,20480.0,0.4749023437500227,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,1.0,,,,,,,,,,,,0.887875236565637,0.5,0.9773435311291713,0.9650297619047619,0.8203732651378034,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,2.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,2.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,4.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,4.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,8.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,8.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,16.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,16.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,33.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,33.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,32768.0,50.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,50.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,65536.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,65536.0,1.0,15080.079088281262,28643.514500000023,4.337363027880426,16777216.0,820,820,20460.019512195122,10750.0,20480.0,0.4749023437500227,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,1.0,,,,,,,,,,,,0.887875236565637,0.5,0.9773435311291713,0.9650297619047619,0.8203732651378034,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,40.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_40,fixed_hybrid,65536.0,2.0,14073.44806484376,26731.28250000002,4.644927971181826,16777216.0,410,410,40920.039024390244,20980.0,40960.0,0.9744140625000228,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,2.0,,,,,,,,,,,,0.9672373895487516,0.5,0.9939094935499195,0.9904513888888888,0.8592445628628179,,,,
